127.0.0.1 - - [20/Jun/2018:14:45:25 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:27 +0900] "GET /sample-web/ HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:27 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:27 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:28 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:28 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:28 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:28 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:30 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5534
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:30 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:14:45:30 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 233
